DDI,Implicated Transporter,Interacting Drug,Affected Drug,AUC,Cmax,CLR,CL/F,t1/2,Effect on PD,Reference,More Details
DDI,Implicated Transporter,Interacting Drug,Affected Drug,Clinical PK Impact(fold change),Clinical PK Impact(fold change),Clinical PK Impact(fold change),Clinical PK Impact(fold change),Clinical PK Impact(fold change),Effect on PD,Reference,More Details
1,ABCG2/OATPs,Atazanavir  / Ritonavir,Rosuvastatin,3.1,7.0,ND,ND,ND,ND,"Busti, 2008",DDI 1
2,ABCB1/OATPs,Cyclosporine,Docetaxel,7.3,5.7,ND,ND,ND,ND,"Malingre, 2001",DDI 2
3,ABCB1/OATPs,Cyclosporine,Paclitaxel,8.5,2.0,ND,ND,ND,ND,"Meerum, 1999",DDI 3
4,ABCG2/OATPs,Cyclosporine,Pitavastatin,4.6,6.6,ND,ND,ND,ND,Livalo Drug Label,DDI 4
5,ABCG2/OATPs,Cyclosporine,Rosuvastatin,5.0,10.6,ND,ND,ND,ND,"Simonson, 2004",DDI 5
6,ABCG2/OATPs,Cyclosporine,Rosuvastatin,6.4,18.2,ND,ND,ND,ND,"Simonson, 2004",DDI 6
7,ABCB1/OATPs,Erythromycin,Simvastatin,6.2,3.5,ND,ND,NS,ND,"Kantola, 1998",DDI 7
8,ABCB1/OATPs,Indinavir  / Ritonavir,Fexofenadine,4.8,2.5,ND,0.2,0.7,ND,"Kharasch, 2009",DDI 8
9,OATPs,Lopinavir  / Ritonavir,Rosuvastatin,2.1,4.7,ND,0.5,NS,yes,"Kiser, 2008",DDI 9
10,OATPs,Rifampicin,Glyburide,2.2,1.8,NS,0.5,ND,yes,"Zheng, 2009",DDI 10
11,ABCB1/OATPs,Ritonavir,Digoxin,1.9,ND,0.6,0.6,2.6,ND,"Ding, 2004",DDI 11
12,ABCB1/OATPs,Ritonavir,Saquinavir,29.9,22.5,ND,ND,ND,ND,"la, 2007",DDI 12
13,ABCB1/OATPs,Verapamil,Simvastatin,4.6,2.6,ND,ND,NS,ND,"Kantola, 1998",DDI 13
